Performance Statistics   2020-01-28 21:56:00 - 2020-01-28 21:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
lookupWindowActions#create                               0,0           0           0         0,0           1
lookupWindowActions#inject                               0,0           0           0         0,0           1
lookupWindowActions#load                                 2,0           2           2         0,0           1
lookupWindowActions#xml                                  0,5           0           1         0,5           2
main#afterShow                                          17,0          17          17         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             33,0          33          33         0,0           1
main#init                                                0,0           0           0         0,0           1
main#inject                                              0,0           0           0         0,0           1
main#load                                               26,0          26          26         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 1,0           1           1         0,0           1
sec$User.lookup#afterShow                                0,0           0           0         0,0           1
sec$User.lookup#beforeShow                               1,0           1           1         0,0           1
sec$User.lookup#create                                   1,0           1           1         0,0           1
sec$User.lookup#init                                     4,0           4           4         0,0           1
sec$User.lookup#inject                                  18,0          18          18         0,0           1
sec$User.lookup#load                                    27,0          27          27         0,0           1
sec$User.lookup#uiPermissions                            0,0           0           0         0,0           1
sec$User.lookup#xml                                      1,2           0           6         2,4           5
sec$User.lookup.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.lookup@usersDs                                 48,0          48          48         0,0           1
sys$ScheduledTask.browse#afterShow                       0,0           0           0         0,0           1
sys$ScheduledTask.browse#beforeShow                      0,0           0           0         0,0           1
sys$ScheduledTask.browse#create                         11,0          11          11         0,0           1
sys$ScheduledTask.browse#init                           18,0          18          18         0,0           1
sys$ScheduledTask.browse#inject                         30,0          30          30         0,0           1
sys$ScheduledTask.browse#load                         1015,0        1015        1015         0,0           1
sys$ScheduledTask.browse#uiPermissions                   0,0           0           0         0,0           1
sys$ScheduledTask.browse#xml                             1,5           0           3         1,5           2
sys$ScheduledTask.browse@tasksDs                      1169,0        1169        1169         0,0           1
sys$ScheduledTask.edit#afterShow                         0,0           0           0         0,0           1
sys$ScheduledTask.edit#beforeShow                        0,0           0           0         0,0           1
sys$ScheduledTask.edit#create                            2,0           2           2         0,0           1
sys$ScheduledTask.edit#init                            411,0         411         411         0,0           1
sys$ScheduledTask.edit#inject                           17,0          17          17         0,0           1
sys$ScheduledTask.edit#load                           1503,0        1503        1503         0,0           1
sys$ScheduledTask.edit#uiPermissions                     0,0           0           0         0,0           1
sys$ScheduledTask.edit#xml                               1,0           0           5         2,0           5
sys$ScheduledTask.edit.windowActions#init                0,0           0           0         0,0           1
sys$ScheduledTask.edit.windowActions#inject             10,0          10          10         0,0           1
sys$ScheduledTask.edit.windowActions#load                3,0           3           3         0,0           1

Performance Statistics   2020-01-28 22:06:00 - 2020-01-28 22:08:00
